TRACK_ID	NAME	technique	CATEGORY	institute	source	experiment	developmental-stage	tissue	condition	summary	citation	project	accession	date	analyst	SCIPRJ	ACCESS	biosample	NGS_file	MLONG	FILENAME	TRACK_PATH	ASSEMBLY_1	ASSEMBLY_2	BED1_PATH	BED2_PATH	MAF
MOLNG-1571.28.bam	MOLNG-1571 sample 28	RNASeq	Aligned Reads														ADMIN				MOLNG-1571.28.bam	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/bams/MOLNG-1571.28.bam					
MOLNG-1180.29.pos.bw	Whole_Male_M_symbol_1.pos	RNASeq	Gene Expression														PUBLIC				MOLNG-1180.29.pos.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1180.29.pos.bw					
MOLNG-1180.40.pos.bw	Whole_Male_M_symbol_2.pos	RNASeq	Gene Expression														PUBLIC				MOLNG-1180.40.pos.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1180.40.pos.bw					
MOLNG-1180.35.pos.bw	Whole_Male_M_symbol_3.pos	RNASeq	Gene Expression														PUBLIC				MOLNG-1180.35.pos.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1180.35.pos.bw					
MOLNG-1180.30.pos.bw	Whole_Male_M_symbol_4.pos	RNASeq	Gene Expression														PUBLIC				MOLNG-1180.30.pos.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1180.30.pos.bw					
MOLNG-1180.29.neg.bw	Whole_Male_M_symbol_1.neg	RNASeq	Gene Expression														PUBLIC				MOLNG-1180.29.neg.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1180.29.neg.bw					
MOLNG-1180.40.neg.bw	Whole_Male_M_symbol_2.neg	RNASeq	Gene Expression														PUBLIC				MOLNG-1180.40.neg.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1180.40.neg.bw					
MOLNG-1180.35.neg.bw	Whole_Male_M_symbol_3.neg	RNASeq	Gene Expression														PUBLIC				MOLNG-1180.35.neg.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1180.35.neg.bw					
MOLNG-1180.30.neg.bw	Whole_Male_M_symbol_4.neg	RNASeq	Gene Expression														PUBLIC				MOLNG-1180.30.neg.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1180.30.neg.bw					
MOLNG-1180.33.pos.bw	WholeFemale_F_symbol_1.pos	RNASeq	Gene Expression														PUBLIC				MOLNG-1180.33.pos.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1180.33.pos.bw					
MOLNG-1180.37.pos.bw	WholeFemale_F_symbol_2.pos	RNASeq	Gene Expression														PUBLIC				MOLNG-1180.37.pos.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1180.37.pos.bw					
MOLNG-1180.46.pos.bw	WholeFemale_F_symbol_3.pos	RNASeq	Gene Expression														PUBLIC				MOLNG-1180.46.pos.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1180.46.pos.bw					
MOLNG-1180.45.pos.bw	WholeFemale_F_symbol_4.pos	RNASeq	Gene Expression														PUBLIC				MOLNG-1180.45.pos.bw	https://tracks.stowers.org:8080/moop/data/tracks/Nematostella_vectensis/GCA_033964005.1/bulk_align/MOLNG-1180.45.pos.bw					
