label	key	technique	category	institute	source	experiment	developmental-stage	tissue	condition	summary	citation	project	accession	date	analyst	filename	SCIPRJ	access_level	biosample	NGS_file	MLONG
MOLNG-1901.9.pos.bw	10h_wild_type.pos	RNASeq	Gene Expression	SIMR	Bazzini Lab arb		adult		10h_wild_type	Ribo-dep Stranded RNASeq, adult sexed samples, several tissues		[SCI-003455] Sequencing - Bazzini	MOLNG-1901	2016-12-14	SHC	GCA_033964005.1/bulk_align/MOLNG-1901.9.pos.bw	[SCI-003455] Sequencing - Bazzini			n_1_GATCAG.fastq.gz	
## browns: 10hr wt -																					
MOLNG-1901.9.neg.bw	10h_wild_type.neg	RNASeq	Gene Expression	SIMR	Bazzini Lab arb		adult		10h_wild_type	Ribo-dep Stranded RNASeq, adult sexed samples, several tissues		[SCI-003455] Sequencing - Bazzini	MOLNG-1901	2016-12-14	SHC	GCA_033964005.1/bulk_align/MOLNG-1901.9.neg.bw	[SCI-003455] Sequencing - Bazzini			n_1_GATCAG.fastq.gz	
## oranges: 10hr a_amanitin +																					
MOLNG-1901.10.pos.bw	10h_a_amanitin.pos	RNASeq	Gene Expression	SIMR	Bazzini Lab arb		adult		10h_a_amanitin	Ribo-dep Stranded RNASeq, adult sexed samples, several tissues		[SCI-003455] Sequencing - Bazzini	MOLNG-1901	2016-12-14	SHC	GCA_033964005.1/bulk_align/MOLNG-1901.10.pos.bw	[SCI-003455] Sequencing - Bazzini			n_1_TAGCTT.fastq.gz	
## oranges: 10hr a_amanitin -																					
MOLNG-1901.10.neg.bw	10h_a_amanitin.neg	RNASeq	Gene Expression	SIMR	Bazzini Lab arb		adult		10h_a_amanitin	Ribo-dep Stranded RNASeq, adult sexed samples, several tissues		[SCI-003455] Sequencing - Bazzini	MOLNG-1901	2016-12-14	SHC	GCA_033964005.1/bulk_align/MOLNG-1901.10.neg.bw	[SCI-003455] Sequencing - Bazzini			n_1_TAGCTT.fastq.gz	
### end																					
																					
# Gonads Male+Female																					
## oranges: male +																					
